experiment,model,provider,condition,trial,chosen_product,price_usd,planned_budget,num_steps,steps,capped,ok,error
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,0,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,1,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,2,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,3,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,4,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,5,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,6,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,7,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,8,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,9,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,10,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,11,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,12,pen_299,2.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,13,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,14,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,15,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,16,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,17,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,18,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,19,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,20,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,21,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,22,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,23,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,24,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,25,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,26,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,27,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,28,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,29,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,30,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,31,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,32,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,33,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,34,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,35,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,36,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,37,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,38,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,39,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,40,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,41,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,42,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,43,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,44,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,45,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,46,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,47,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,48,pen_199,1.99,,1,choose_product,False,True,
budget-backfire,Claude Opus 4.8,anthropic,no_restraint,49,pen_199,1.99,,1,choose_product,False,True,
