experiment,model,provider,condition,trial,chosen_product,price_usd,planned_budget,num_steps,steps,capped,ok,error
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,0,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,1,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,2,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,3,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,4,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,5,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,6,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,7,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,8,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,9,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,10,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,11,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,12,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,13,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,14,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,15,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,16,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,17,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,18,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,19,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,20,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,21,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,22,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,23,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,24,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,25,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,26,sel_other,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,27,sel_p_notq,,,1,select_cards,False,True,
wason-selection-deontic,Claude Opus 4.8,anthropic,direct,28,sel_other,,,1,select_cards,False,True,
