experiment,model,provider,condition,trial,chosen_product,price_usd,planned_budget,num_steps,steps,capped,ok,error
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,0,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,1,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,2,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,3,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,4,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,5,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,6,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,7,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,8,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,9,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,10,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,11,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,12,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,13,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,14,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,15,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,16,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,17,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,18,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,19,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,20,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,21,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,22,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,23,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,24,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,25,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,26,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,27,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,28,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,no_decoy,29,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,0,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,1,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,2,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,3,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,4,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,5,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,6,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,7,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,8,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,9,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,10,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,11,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,12,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,13,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,14,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,15,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,16,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,17,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,18,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,19,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,20,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,21,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,22,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,23,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,24,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,25,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,26,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,27,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,28,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_b,29,plan_b,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,0,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,1,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,2,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,3,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,4,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,5,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,6,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,7,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,8,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,9,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,10,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,11,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,12,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,13,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,14,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,15,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,16,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,17,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,18,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,19,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,20,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,21,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,22,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,23,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,24,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,25,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,26,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,27,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
decoy-effect-novel,Claude Opus 4.8,anthropic,decoy_a,28,plan_a,,,3,inspect_options|compare_options|choose_product,False,True,
